t,bpm
1159,150
1160,151
1161,150
1162,150
1163,151
1164,151
1165,151
1166,150
1167,150
1168,149
1169,151
1170,152
1171,152
1172,151
1173,151
1174,151
1175,151
1176,150
1177,149
1178,148
1179,149
1180,149
1181,148
1182,148
1183,148
1184,148
1185,147
1186,146
1187,145
1188,144
1189,143
1190,142
1191,142
1192,141
1194,142
1195,145
1196,148
1196,148
1198,149
1199,149
1200,150
1201,151
1202,151
1203,152
1204,152
1205,153
1206,154
1207,156
1208,156
1209,157
1210,154
1211,153
1212,153
1213,152
1214,153
1215,153
1216,153
1217,153
1218,152
1219,155
1220,156
1221,159
1222,163
1223,166
1224,165
1225,165
1226,167
1227,169
1228,168
1229,167
1230,164
1231,164
1232,164
1233,165
1234,165
1235,164
1236,162
1237,162
1238,161
1239,162
1240,160
1241,159
1242,158
1243,158
1244,158
1245,159
1246,161
1247,162
1248,165
1249,169
1250,167
1251,166
1252,168
1253,169
1254,169
1255,170
1256,170
1257,169
1258,170
1259,170
1260,170
1261,171
1262,171
1263,172
1264,172
1265,172
1266,172
1267,172
1268,172
1269,173
1270,173
1271,172
1272,172
1273,172
1274,173
1275,173
1276,172
1277,171
1278,169
1279,170
1280,170
1281,170
1282,171
1283,171
1284,172
1285,172
1286,171
1287,172
1288,172
1289,172
1290,172
1291,172
1292,172
1293,174
1294,175
1295,176
1296,178
1297,181
1298,182
1299,181
1300,182
1301,181
1302,181
1303,181
1304,182
1305,181
1306,181
1307,182
1308,181
1309,181
1310,180
1311,180
1312,180
1313,181
1314,181
1315,181
1316,181
1317,181
1318,180
1319,180
1320,181
1321,182
1322,181
1323,180
1324,180
1325,180
1326,179
1327,180
1328,179
1329,178
1330,177
1331,178
1332,178
1333,177
1334,178
1335,178
1336,178
1337,178
1338,178
1339,178
1340,178
1341,179
1342,180
1343,179
1344,179
1345,179
1346,180
1347,179
1348,180
1349,180
1350,180
1351,179
1352,179
1353,180
1354,181
1355,181
1356,181
1357,181
1358,180
1359,179
1360,179
